Row,Col,Rainfall (mm)
1,55,-99.0
1,56,-99.0
1,57,-99.0
1,58,-99.0
1,59,-99.0
1,60,-99.0
1,61,-99.0
1,62,-99.0
1,63,-99.0
1,64,-99.0
1,65,-99.0
1,66,-99.0
1,67,-99.0
1,68,-99.0
1,69,-99.0
1,70,-99.0
1,71,-99.0
1,72,-99.0
1,73,-99.0
1,74,-99.0
1,75,-99.0
1,76,-99.0
1,77,-99.0
1,78,-99.0
1,79,-99.0
1,80,-99.0
1,81,-99.0
1,82,-99.0
1,83,-99.0
1,84,-99.0
1,85,-99.0
1,86,-99.0
1,87,-99.0
1,88,-99.0
1,89,-99.0
1,90,-99.0
1,91,-99.0
1,92,-99.0
1,93,-99.0
1,94,-99.0
1,95,-99.0
1,96,-99.0
1,97,-99.0
1,98,-99.0
1,99,-99.0
1,100,-99.0
1,101,-99.0
1,102,-99.0
1,103,-99.0
1,104,-99.0
1,105,-99.0
1,106,-99.0
1,107,-99.0
1,108,-99.0
1,109,-99.0
1,110,-99.0
1,111,-99.0
1,112,-99.0
1,113,-99.0
1,114,-99.0
1,115,-99.0
1,116,-99.0
1,117,-99.0
1,118,-99.0
2,0,-99.0
2,1,-99.0
2,2,-99.0
2,3,-99.0
2,4,-99.0
2,5,-99.0
2,6,-99.0
2,7,-99.0
2,8,-99.0
2,9,-99.0
2,10,-99.0
2,11,-99.0
2,12,-99.0
2,13,-99.0
2,14,-99.0
2,15,-99.0
2,16,-99.0
2,17,-99.0
2,18,-99.0
2,19,-99.0
2,20,-99.0
2,21,-99.0
2,22,-99.0
2,23,-99.0
2,24,-99.0
2,25,-99.0
2,26,-99.0
2,27,-99.0
2,28,-99.0
2,29,-99.0
2,30,-99.0
2,31,-99.0
2,32,-99.0
2,33,-99.0
2,34,-99.0
2,35,-99.0
2,36,518.23
2,37,523.66
2,38,521.51
2,39,462.83
2,40,-99.0
2,41,-99.0
2,42,-99.0
2,43,-99.0
2,44,-99.0
2,45,-99.0
2,46,-99.0
2,47,-99.0
2,48,-99.0
2,49,-99.0
2,50,-99.0
2,51,-99.0
2,52,-99.0
2,53,-99.0
2,54,-99.0
2,55,-99.0
2,56,-99.0
2,57,-99.0
2,58,-99.0
2,59,-99.0
2,60,-99.0
2,61,-99.0
2,62,-99.0
2,63,-99.0
2,64,-99.0
2,65,-99.0
2,66,-99.0
2,67,-99.0
2,68,-99.0
2,69,-99.0
2,70,-99.0
2,71,-99.0
2,72,-99.0
2,73,-99.0
2,74,-99.0
2,75,-99.0
2,76,-99.0
2,77,-99.0
2,78,-99.0
2,79,-99.0
2,80,-99.0
2,81,-99.0
2,82,-99.0
2,83,-99.0
2,84,-99.0
2,85,-99.0
2,86,-99.0
2,87,-99.0
2,88,-99.0
2,89,-99.0
2,90,-99.0
2,91,-99.0
2,92,-99.0
2,93,-99.0
2,94,-99.0
2,95,-99.0
2,96,-99.0
2,97,-99.0
2,98,-99.0
2,99,-99.0
2,100,-99.0
2,101,-99.0
2,102,-99.0
2,103,-99.0
2,104,-99.0
2,105,-99.0
2,106,-99.0
2,107,-99.0
2,108,-99.0
2,109,-99.0
2,110,-99.0
2,111,-99.0
2,112,-99.0
2,113,-99.0
2,114,-99.0
2,115,-99.0
2,116,-99.0
2,117,-99.0
2,118,-99.0
3,0,-99.0
3,1,-99.0
3,2,-99.0
3,3,-99.0
3,4,-99.0
3,5,-99.0
3,6,-99.0
3,7,-99.0
3,8,-99.0
3,9,-99.0
3,10,-99.0
3,11,-99.0
3,12,-99.0
3,13,-99.0
3,14,-99.0
3,15,-99.0
3,16,-99.0
3,17,-99.0
3,18,-99.0
3,19,-99.0
3,20,-99.0
3,21,-99.0
3,22,-99.0
3,23,-99.0
3,24,-99.0
3,25,-99.0
3,26,-99.0
3,27,-99.0
3,28,-99.0
3,29,-99.0
3,30,-99.0
3,31,-99.0
3,32,-99.0
3,33,-99.0
3,34,-99.0
3,35,406.85
3,36,417.82
3,37,418.28
3,38,465.91
3,39,503.16
3,40,476.18
3,41,-99.0
3,42,-99.0
3,43,-99.0
3,44,-99.0
3,45,-99.0
3,46,-99.0
3,47,-99.0
3,48,-99.0
3,49,-99.0
3,50,-99.0
3,51,-99.0
3,52,-99.0
3,53,-99.0
3,54,-99.0
3,55,-99.0
3,56,-99.0
3,57,-99.0
3,58,-99.0
3,59,-99.0
3,60,-99.0
3,61,-99.0
3,62,-99.0
3,63,-99.0
3,64,-99.0
3,65,-99.0
3,66,-99.0
3,67,-99.0
3,68,-99.0
3,69,-99.0
3,70,-99.0
3,71,-99.0
3,72,-99.0
3,73,-99.0
3,74,-99.0
3,75,-99.0
3,76,-99.0
3,77,-99.0
3,78,-99.0
3,79,-99.0
3,80,-99.0
3,81,-99.0
3,82,-99.0
3,83,-99.0
3,84,-99.0
3,85,-99.0
3,86,-99.0
3,87,-99.0
3,88,-99.0
3,89,-99.0
3,90,-99.0
3,91,-99.0
3,92,-99.0
3,93,-99.0
3,94,-99.0
3,95,-99.0
3,96,-99.0
3,97,-99.0
3,98,-99.0
3,99,-99.0
3,100,-99.0
3,101,-99.0
3,102,-99.0
3,103,-99.0
3,104,-99.0
3,105,-99.0
3,106,-99.0
3,107,-99.0
3,108,-99.0
3,109,-99.0
3,110,-99.0
3,111,-99.0
3,112,-99.0
3,113,-99.0
3,114,-99.0
3,115,-99.0
3,116,-99.0
3,117,-99.0
3,118,-99.0
4,0,-99.0
4,1,-99.0
4,2,-99.0
4,3,-99.0
4,4,-99.0
4,5,-99.0
4,6,-99.0
4,7,-99.0
4,8,-99.0
4,9,-99.0
4,10,-99.0
4,11,-99.0
4,12,-99.0
4,13,-99.0
4,14,-99.0
4,15,-99.0
4,16,-99.0
4,17,-99.0
4,18,-99.0
4,19,-99.0
4,20,-99.0
4,21,-99.0
4,22,-99.0
4,23,-99.0
4,24,678.76
4,25,657.57
4,26,632.0
4,27,626.57
4,28,607.49
4,29,-99.0
4,30,-99.0
4,31,-99.0
4,32,342.46
4,33,329.66
4,34,359.11
4,35,356.36
4,36,348.98
4,37,342.64
4,38,362.14
4,39,457.34
4,40,445.88
4,41,-99.0
4,42,-99.0
4,43,-99.0
4,44,-99.0
4,45,-99.0
4,46,-99.0
4,47,-99.0
4,48,-99.0
4,49,-99.0
4,50,-99.0
4,51,-99.0
4,52,-99.0
4,53,-99.0
4,54,-99.0
4,55,-99.0
4,56,-99.0
4,57,-99.0
4,58,-99.0
4,59,-99.0
4,60,-99.0
4,61,-99.0
4,62,-99.0
4,63,-99.0
4,64,-99.0
4,65,-99.0
4,66,-99.0
4,67,-99.0
4,68,-99.0
4,69,-99.0
4,70,-99.0
4,71,-99.0
4,72,-99.0
4,73,-99.0
4,74,-99.0
4,75,-99.0
4,76,-99.0
4,77,-99.0
4,78,-99.0
4,79,-99.0
4,80,-99.0
4,81,-99.0
4,82,-99.0
4,83,-99.0
4,84,-99.0
4,85,-99.0
4,86,-99.0
4,87,-99.0
4,88,-99.0
4,89,-99.0
4,90,-99.0
4,91,-99.0
4,92,-99.0
4,93,-99.0
4,94,-99.0
4,95,-99.0
4,96,-99.0
4,97,-99.0
4,98,-99.0
4,99,-99.0
4,100,-99.0
4,101,-99.0
4,102,-99.0
4,103,-99.0
4,104,-99.0
4,105,-99.0
4,106,-99.0
4,107,-99.0
4,108,-99.0
4,109,-99.0
4,110,-99.0
4,111,-99.0
4,112,-99.0
4,113,-99.0
4,114,-99.0
4,115,-99.0
4,116,-99.0
4,117,-99.0
4,118,-99.0
5,0,-99.0
5,1,-99.0
5,2,-99.0
5,3,-99.0
5,4,-99.0
5,5,-99.0
5,6,-99.0
5,7,-99.0
5,8,-99.0
5,9,-99.0
5,10,-99.0
5,11,-99.0
5,12,-99.0
5,13,-99.0
5,14,-99.0
5,15,-99.0
5,16,-99.0
5,17,-99.0
5,18,-99.0
5,19,-99.0
5,20,-99.0
5,21,-99.0
5,22,-99.0
5,23,743.1
5,24,729.46
5,25,675.09
5,26,642.69
5,27,655.18
5,28,622.09
5,29,608.79
5,30,530.73
5,31,421.3
5,32,351.44
5,33,324.36
5,34,286.12
5,35,282.27
5,36,324.78
5,37,335.31
5,38,342.02
5,39,364.68
5,40,440.23
5,41,437.21
5,42,445.88
5,43,413.75
5,44,-99.0
5,45,-99.0
5,46,-99.0
5,47,-99.0
5,48,-99.0
5,49,-99.0
5,50,-99.0
5,51,-99.0
5,52,-99.0
5,53,-99.0
5,54,-99.0
5,55,-99.0
5,56,-99.0
5,57,-99.0
5,58,-99.0
5,59,-99.0
5,60,-99.0
5,61,-99.0
5,62,-99.0
5,63,-99.0
5,64,-99.0
5,65,-99.0
5,66,-99.0
5,67,-99.0
5,68,-99.0
5,69,-99.0
5,70,-99.0
5,71,-99.0
5,72,-99.0
5,73,-99.0
5,74,-99.0
5,75,-99.0
5,76,-99.0
5,77,-99.0
5,78,-99.0
5,79,-99.0
5,80,-99.0
5,81,-99.0
5,82,-99.0
5,83,-99.0
5,84,-99.0
5,85,-99.0
5,86,-99.0
5,87,-99.0
5,88,-99.0
5,89,-99.0
5,90,-99.0
5,91,-99.0
5,92,-99.0
5,93,-99.0
5,94,-99.0
5,95,-99.0
5,96,-99.0
5,97,-99.0
5,98,-99.0
5,99,-99.0
5,100,-99.0
5,101,-99.0
5,102,-99.0
5,103,-99.0
5,104,-99.0
5,105,-99.0
5,106,-99.0
5,107,-99.0
5,108,-99.0
5,109,-99.0
5,110,-99.0
5,111,-99.0
5,112,-99.0
5,113,-99.0
5,114,-99.0
5,115,-99.0
5,116,-99.0
5,117,-99.0
5,118,-99.0
6,0,-99.0
6,1,-99.0
6,2,-99.0
6,3,-99.0
6,4,-99.0
6,5,-99.0
6,6,-99.0
6,7,-99.0
6,8,-99.0
6,9,-99.0
6,10,-99.0
6,11,-99.0
6,12,-99.0
6,13,-99.0
6,14,-99.0
6,15,-99.0
6,16,-99.0
6,17,-99.0
6,18,-99.0
6,19,-99.0
6,20,-99.0
6,21,-99.0
6,22,-99.0
6,23,-99.0
6,24,808.84
6,25,787.99
6,26,730.01
6,27,655.5
6,28,641.32
6,29,620.21
6,30,569.27
6,31,492.86
6,32,421.37
6,33,344.0
6,34,298.62
6,35,262.73
6,36,271.79
6,37,272.27
6,38,287.15
6,39,324.87
6,40,363.46
6,41,424.14
6,42,430.28
6,43,-99.0
6,44,-99.0
6,45,-99.0
6,46,-99.0
6,47,-99.0
6,48,-99.0
6,49,-99.0
6,50,-99.0
6,51,-99.0
6,52,-99.0
6,53,-99.0
6,54,-99.0
6,55,-99.0
6,56,-99.0
6,57,-99.0
6,58,-99.0
6,59,-99.0
6,60,-99.0
6,61,-99.0
6,62,-99.0
6,63,-99.0
6,64,-99.0
6,65,-99.0
6,66,-99.0
6,67,-99.0
6,68,-99.0
6,69,-99.0
6,70,-99.0
6,71,-99.0
6,72,-99.0
6,73,-99.0
6,74,-99.0
6,75,-99.0
6,76,-99.0
6,77,-99.0
6,78,-99.0
6,79,-99.0
6,80,-99.0
6,81,-99.0
6,82,-99.0
6,83,-99.0
6,84,-99.0
6,85,-99.0
6,86,-99.0
6,87,-99.0
6,88,-99.0
6,89,-99.0
6,90,-99.0
6,91,-99.0
6,92,-99.0
6,93,-99.0
6,94,-99.0
6,95,-99.0
6,96,-99.0
6,97,-99.0
6,98,-99.0
6,99,-99.0
6,100,-99.0
6,101,-99.0
6,102,-99.0
6,103,-99.0
6,104,-99.0
6,105,-99.0
6,106,-99.0
6,107,-99.0
6,108,-99.0
6,109,-99.0
6,110,-99.0
6,111,-99.0
6,112,-99.0
6,113,-99.0
6,114,-99.0
6,115,-99.0
6,116,-99.0
6,117,-99.0
6,118,-99.0
7,0,-99.0
7,1,-99.0
7,2,-99.0
7,3,-99.0
7,4,-99.0
7,5,-99.0
7,6,-99.0
7,7,-99.0
7,8,-99.0
7,9,-99.0
7,10,-99.0
7,11,-99.0
7,12,-99.0
7,13,-99.0
7,14,-99.0
7,15,-99.0
7,16,-99.0
7,17,-99.0
7,18,-99.0
7,19,-99.0
7,20,-99.0
7,21,-99.0
7,22,-99.0
7,23,-99.0
7,24,-99.0
7,25,820.73
7,26,790.58
7,27,736.46
7,28,685.24
7,29,654.09
7,30,629.74
7,31,569.79
7,32,500.79
7,33,403.15
7,34,350.26
7,35,286.62
7,36,271.8
7,37,279.59
7,38,282.04
7,39,293.95
7,40,339.99
7,41,344.85
7,42,341.12
7,43,-99.0
7,44,-99.0
7,45,-99.0
7,46,-99.0
7,47,-99.0
7,48,-99.0
7,49,-99.0
7,50,-99.0
7,51,-99.0
7,52,-99.0
7,53,-99.0
7,54,-99.0
7,55,-99.0
7,56,-99.0
7,57,-99.0
7,58,-99.0
7,59,-99.0
7,60,-99.0
7,61,-99.0
7,62,-99.0
7,63,-99.0
7,64,-99.0
7,65,-99.0
7,66,-99.0
7,67,-99.0
7,68,-99.0
7,69,-99.0
7,70,-99.0
7,71,-99.0
7,72,-99.0
7,73,-99.0
7,74,-99.0
7,75,-99.0
7,76,-99.0
7,77,-99.0
7,78,-99.0
7,79,-99.0
7,80,-99.0
7,81,-99.0
7,82,-99.0
7,83,-99.0
7,84,-99.0
7,85,-99.0
7,86,-99.0
7,87,-99.0
7,88,-99.0
7,89,-99.0
7,90,-99.0
7,91,-99.0
7,92,-99.0
7,93,-99.0
7,94,-99.0
7,95,-99.0
7,96,-99.0
7,97,-99.0
7,98,-99.0
7,99,-99.0
7,100,-99.0
7,101,-99.0
7,102,-99.0
7,103,-99.0
7,104,-99.0
7,105,-99.0
7,106,-99.0
7,107,-99.0
7,108,-99.0
7,109,-99.0
7,110,-99.0
7,111,-99.0
7,112,-99.0
7,113,-99.0
7,114,-99.0
7,115,-99.0
7,116,-99.0
7,117,-99.0
7,118,-99.0
8,0,-99.0
8,1,-99.0
8,2,-99.0
8,3,-99.0
8,4,-99.0
8,5,-99.0
8,6,-99.0
8,7,-99.0
8,8,-99.0
8,9,-99.0
8,10,-99.0
8,11,-99.0
8,12,-99.0
8,13,-99.0
8,14,-99.0
8,15,-99.0
8,16,-99.0
8,17,-99.0
8,18,-99.0
8,19,-99.0
8,20,-99.0
8,21,-99.0
8,22,-99.0
8,23,-99.0
8,24,774.44
8,25,788.63
8,26,834.96
8,27,763.69
8,28,723.01
8,29,676.34
8,30,664.91
8,31,612.43
8,32,570.23
8,33,499.83
8,34,405.79
8,35,327.02
8,36,294.66
8,37,290.51
8,38,305.32
8,39,282.3
8,40,304.19
8,41,330.33
8,42,308.63
8,43,-99.0
8,44,-99.0
8,45,-99.0
8,46,-99.0
8,47,-99.0
8,48,-99.0
8,49,-99.0
8,50,-99.0
8,51,-99.0
8,52,-99.0
8,53,-99.0
8,54,-99.0
8,55,-99.0
8,56,-99.0
8,57,-99.0
8,58,-99.0
8,59,-99.0
8,60,-99.0
8,61,-99.0
8,62,-99.0
8,63,-99.0
8,64,-99.0
8,65,-99.0
8,66,-99.0
8,67,-99.0
8,68,-99.0
8,69,-99.0
8,70,-99.0
8,71,-99.0
8,72,-99.0
8,73,-99.0
8,74,-99.0
8,75,-99.0
8,76,-99.0
8,77,-99.0
8,78,-99.0
8,79,-99.0
8,80,-99.0
8,81,-99.0
8,82,-99.0
8,83,-99.0
8,84,-99.0
8,85,-99.0
8,86,-99.0
8,87,-99.0
8,88,-99.0
8,89,-99.0
8,90,-99.0
8,91,-99.0
8,92,-99.0
8,93,-99.0
8,94,-99.0
8,95,-99.0
8,96,-99.0
8,97,-99.0
8,98,-99.0
8,99,-99.0
8,100,-99.0
8,101,-99.0
8,102,-99.0
8,103,-99.0
8,104,-99.0
8,105,-99.0
8,106,-99.0
8,107,-99.0
8,108,-99.0
8,109,-99.0
8,110,-99.0
8,111,-99.0
8,112,-99.0
8,113,-99.0
8,114,-99.0
8,115,-99.0
8,116,-99.0
8,117,-99.0
8,118,-99.0
9,0,-99.0
9,1,-99.0
9,2,-99.0
9,3,-99.0
9,4,-99.0
9,5,-99.0
9,6,-99.0
9,7,-99.0
9,8,-99.0
9,9,-99.0
9,10,-99.0
9,11,-99.0
9,12,-99.0
9,13,-99.0
9,14,-99.0
9,15,-99.0
9,16,-99.0
9,17,-99.0
9,18,-99.0
9,19,-99.0
9,20,-99.0
9,21,-99.0
9,22,-99.0
9,23,-99.0
9,24,748.15
9,25,817.75
9,26,827.79
9,27,805.07
9,28,740.74
9,29,728.57
9,30,691.97
9,31,625.64
9,32,574.39
9,33,522.44
9,34,467.17
9,35,392.7
9,36,333.91
9,37,317.03
9,38,324.57
9,39,325.12
9,40,291.2
9,41,325.66
9,42,308.75
9,43,274.63
9,44,-99.0
9,45,-99.0
9,46,-99.0
9,47,-99.0
9,48,-99.0
9,49,-99.0
9,50,-99.0
9,51,-99.0
9,52,-99.0
9,53,-99.0
9,54,-99.0
9,55,-99.0
9,56,-99.0
9,57,-99.0
9,58,-99.0
9,59,-99.0
9,60,-99.0
9,61,-99.0
9,62,-99.0
9,63,-99.0
9,64,-99.0
9,65,-99.0
9,66,-99.0
9,67,-99.0
9,68,-99.0
9,69,-99.0
9,70,-99.0
9,71,-99.0
9,72,-99.0
9,73,-99.0
9,74,-99.0
9,75,-99.0
9,76,-99.0
9,77,-99.0
9,78,-99.0
9,79,-99.0
9,80,-99.0
9,81,-99.0
9,82,-99.0
9,83,-99.0
9,84,-99.0
9,85,-99.0
9,86,-99.0
9,87,-99.0
9,88,-99.0
9,89,-99.0
9,90,-99.0
9,91,-99.0
9,92,-99.0
9,93,-99.0
9,94,-99.0
9,95,-99.0
9,96,-99.0
9,97,-99.0
9,98,-99.0
9,99,-99.0
9,100,-99.0
9,101,-99.0
9,102,-99.0
9,103,-99.0
9,104,-99.0
9,105,-99.0
9,106,-99.0
9,107,-99.0
9,108,-99.0
9,109,-99.0
9,110,-99.0
9,111,-99.0
9,112,-99.0
9,113,-99.0
9,114,-99.0
9,115,-99.0
9,116,-99.0
9,117,-99.0
9,118,-99.0
10,0,-99.0
10,1,-99.0
10,2,-99.0
10,3,-99.0
10,4,-99.0
10,5,-99.0
10,6,-99.0
10,7,-99.0
10,8,-99.0
10,9,-99.0
10,10,-99.0
10,11,-99.0
10,12,-99.0
10,13,-99.0
10,14,-99.0
10,15,-99.0
10,16,-99.0
10,17,-99.0
10,18,-99.0
10,19,-99.0
10,20,-99.0
10,21,-99.0
10,22,-99.0
10,23,-99.0
10,24,731.52
10,25,784.61
10,26,804.92
10,27,786.03
10,28,763.33
10,29,699.56
10,30,675.2
10,31,633.0
10,32,607.06
10,33,559.53
10,34,523.95
10,35,466.21
10,36,412.08
10,37,369.61
10,38,342.2
10,39,323.68
10,40,329.4
10,41,305.48
10,42,258.29
10,43,277.35
10,44,285.38
10,45,292.07
10,46,-99.0
10,47,-99.0
10,48,-99.0
10,49,-99.0
10,50,-99.0
10,51,-99.0
10,52,-99.0
10,53,-99.0
10,54,-99.0
10,55,-99.0
10,56,-99.0
10,57,-99.0
10,58,-99.0
10,59,-99.0
10,60,-99.0
10,61,-99.0
10,62,-99.0
10,63,-99.0
10,64,-99.0
10,65,-99.0
10,66,-99.0
10,67,-99.0
10,68,-99.0
10,69,-99.0
10,70,-99.0
10,71,-99.0
10,72,-99.0
10,73,-99.0
10,74,-99.0
10,75,-99.0
10,76,-99.0
10,77,-99.0
10,78,-99.0
10,79,-99.0
10,80,-99.0
10,81,-99.0
10,82,-99.0
10,83,-99.0
10,84,-99.0
10,85,-99.0
10,86,-99.0
10,87,-99.0
10,88,-99.0
10,89,-99.0
10,90,-99.0
10,91,-99.0
10,92,-99.0
10,93,-99.0
10,94,-99.0
10,95,-99.0
10,96,-99.0
10,97,-99.0
10,98,-99.0
10,99,-99.0
10,100,-99.0
10,101,-99.0
10,102,-99.0
10,103,-99.0
10,104,-99.0
10,105,-99.0
10,106,-99.0
10,107,-99.0
10,108,-99.0
10,109,-99.0
10,110,-99.0
10,111,-99.0
10,112,-99.0
10,113,-99.0
10,114,-99.0
10,115,-99.0
10,116,-99.0
10,117,-99.0
10,118,-99.0
11,0,-99.0
11,1,-99.0
11,2,-99.0
11,3,-99.0
11,4,-99.0
11,5,-99.0
11,6,-99.0
11,7,-99.0
11,8,-99.0
11,9,-99.0
11,10,-99.0
11,11,-99.0
11,12,-99.0
11,13,-99.0
11,14,-99.0
11,15,-99.0
11,16,-99.0
11,17,-99.0
11,18,-99.0
11,19,-99.0
11,20,-99.0
11,21,-99.0
11,22,-99.0
11,23,-99.0
11,24,-99.0
11,25,703.08
11,26,712.81
11,27,678.87
11,28,655.15
11,29,669.64
11,30,678.38
11,31,636.63
11,32,606.58
11,33,581.17
11,34,579.87
11,35,541.97
11,36,502.35
11,37,436.48
11,38,381.1
11,39,369.7
11,40,340.94
11,41,299.0
11,42,297.42
11,43,251.87
11,44,268.65
11,45,254.07
11,46,-99.0
11,47,-99.0
11,48,-99.0
11,49,-99.0
11,50,-99.0
11,51,-99.0
11,52,-99.0
11,53,-99.0
11,54,-99.0
11,55,-99.0
11,56,-99.0
11,57,-99.0
11,58,-99.0
11,59,-99.0
11,60,-99.0
11,61,-99.0
11,62,-99.0
11,63,-99.0
11,64,-99.0
11,65,-99.0
11,66,-99.0
11,67,-99.0
11,68,-99.0
11,69,-99.0
11,70,-99.0
11,71,-99.0
11,72,-99.0
11,73,-99.0
11,74,-99.0
11,75,-99.0
11,76,-99.0
11,77,-99.0
11,78,-99.0
11,79,-99.0
11,80,-99.0
11,81,-99.0
11,82,-99.0
11,83,-99.0
11,84,-99.0
11,85,-99.0
11,86,-99.0
11,87,-99.0
11,88,-99.0
11,89,-99.0
11,90,-99.0
11,91,-99.0
11,92,-99.0
11,93,-99.0
11,94,-99.0
11,95,-99.0
11,96,-99.0
11,97,-99.0
11,98,-99.0
11,99,-99.0
11,100,-99.0
11,101,-99.0
11,102,-99.0
11,103,-99.0
11,104,-99.0
11,105,-99.0
11,106,-99.0
11,107,-99.0
11,108,-99.0
11,109,-99.0
11,110,-99.0
11,111,-99.0
11,112,-99.0
11,113,-99.0
11,114,-99.0
11,115,-99.0
11,116,-99.0
11,117,-99.0
11,118,-99.0
12,0,-99.0
12,1,-99.0
12,2,-99.0
12,3,-99.0
12,4,-99.0
12,5,-99.0
12,6,-99.0
12,7,-99.0
12,8,-99.0
12,9,-99.0
12,10,-99.0
12,11,-99.0
12,12,-99.0
12,13,-99.0
12,14,-99.0
12,15,-99.0
12,16,-99.0
12,17,-99.0
12,18,-99.0
12,19,-99.0
12,20,-99.0
12,21,-99.0
12,22,-99.0
12,23,-99.0
12,24,-99.0
12,25,-99.0
12,26,-99.0
12,27,631.29
12,28,615.64
12,29,648.94
12,30,692.36
12,31,657.68
12,32,640.01
12,33,655.18
12,34,642.57
12,35,596.21
12,36,530.99
12,37,472.01
12,38,415.45
12,39,390.57
12,40,353.66
12,41,309.4
12,42,270.41
12,43,251.22
12,44,252.59
12,45,250.65
12,46,-99.0
12,47,-99.0
12,48,-99.0
12,49,-99.0
12,50,-99.0
12,51,-99.0
12,52,-99.0
12,53,-99.0
12,54,-99.0
12,55,-99.0
12,56,-99.0
12,57,-99.0
12,58,-99.0
12,59,-99.0
12,60,-99.0
12,61,-99.0
12,62,-99.0
12,63,-99.0
12,64,-99.0
12,65,-99.0
12,66,-99.0
12,67,-99.0
12,68,-99.0
12,69,-99.0
12,70,-99.0
12,71,-99.0
12,72,-99.0
12,73,-99.0
12,74,-99.0
12,75,-99.0
12,76,-99.0
12,77,-99.0
12,78,-99.0
12,79,-99.0
12,80,-99.0
12,81,-99.0
12,82,-99.0
12,83,-99.0
12,84,-99.0
12,85,-99.0
12,86,-99.0
12,87,-99.0
12,88,-99.0
12,89,-99.0
12,90,-99.0
12,91,-99.0
12,92,-99.0
12,93,-99.0
12,94,-99.0
12,95,-99.0
12,96,-99.0
12,97,-99.0
12,98,-99.0
12,99,-99.0
12,100,-99.0
12,101,-99.0
12,102,-99.0
12,103,-99.0
12,104,-99.0
12,105,-99.0
12,106,-99.0
12,107,-99.0
12,108,-99.0
12,109,-99.0
12,110,-99.0
12,111,-99.0
12,112,-99.0
12,113,-99.0
12,114,-99.0
12,115,-99.0
12,116,-99.0
12,117,-99.0
12,118,-99.0
13,0,-99.0
13,1,-99.0
13,2,-99.0
13,3,-99.0
13,4,-99.0
13,5,-99.0
13,6,-99.0
13,7,-99.0
13,8,-99.0
13,9,-99.0
13,10,-99.0
13,11,-99.0
13,12,-99.0
13,13,-99.0
13,14,-99.0
13,15,-99.0
13,16,-99.0
13,17,-99.0
13,18,-99.0
13,19,-99.0
13,20,-99.0
13,21,-99.0
13,22,-99.0
13,23,-99.0
13,24,-99.0
